# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-154.97171387913488,0.0,0.10303837981297301,9.70512154611825,0.0,0.0
 0.09774815426114707,0.009554701661461003,0.09774815426114707,1.0,-154.97171387913488,0.0,0.10303837981297301,9.70512154611825,0.0,0.0
 0.13819449989575122,0.019097719801436784,0.2359426541568983,3.416736363384037,-154.9153406136344,0.0,0.10258293750639719,9.748209832045792,1.3937789586666947,34.45994778510317
 0.16920143041918853,0.028629124055899492,0.30739593031493956,2.3044292018531674,-154.85928499096875,0.0,0.10212135339607532,9.792271319804419,1.8078417218140057,13.353877863993404
 0.19531764864372286,0.03814898387171277,0.36451907906291137,2.1872672473807353,-154.80354934836905,0.0,0.1016536264441361,9.837327353486513,2.1341391054598717,12.494051812575728
 0.21830567676346993,0.04765736850715661,0.4136233254071927,2.1360790968451986,-154.7481360180691,0.0,0.10117975558398466,9.88340003618556,2.4105299511256386,12.023251591046316
 0.23906975348726356,0.05715434703246096,0.4573754302507335,2.107105720400518,-154.6930473271829,0.0,0.10069974099902124,9.930512135177384,2.6530768316347317,11.681081886542927
 0.25814722220153385,0.06663998833036809,0.4972169756887977,2.088408375072421,-154.6382855975511,0.0,0.10021358286553535,9.978687233863106,2.870492435447881,11.396459722694676
 0.27588831272218656,0.07611436109669502,0.5340355349237214,2.0753267219995615,-154.58385314562983,0.0,0.09972128199830244,10.027949701017913,3.068157048062995,11.141626969605342
 0.2925363803716268,0.08557753384093315,0.5684246930938138,2.065654638978397,-154.52975228229366,0.0,0.09922283970274813,10.078324738495702,3.24967824947503,10.90343968046877
 0.30826867321680024,0.0950295748868464,0.6008050535884271,2.0582098752723996,-154.4759853127589,0.0,0.09871825761943184,10.129838432269478,3.417618147838281,10.674852039432634
 0.32321904704564886,0.10447055237309738,0.6314877202624485,2.0523009675393786,-154.4225545364029,0.0,0.09820753806487906,10.18251775479157,3.5738756079038083,10.451742669070205
 0.3374915321217497,0.11390053425388601,0.6607105791673973,2.047496196291858,-154.3694622466506,0.0,0.0976906837115976,10.236390636308776,3.7199050809455154,10.231537974156435
 0.3511688885701728,0.12331958829961046,0.6886604206919235,2.043511962996956,-154.31671073081677,0.0,0.0971676979358362,10.291485969548654,3.856850264361616,10.012547668295154
 0.3643182428832496,0.13272778209753847,0.7154871314534232,2.0401542252778997,-154.26430226998136,0.0,0.09663858414753411,10.347833723157011,3.9856299851361876,9.793615542513939
 0.37699493770142195,0.14212518305249905,0.7413131805846725,2.0372857043325707,-154.2122391388599,0.0,0.09610334682685584,10.405464877322592,4.106995701028392,9.573924247054057
 0.3892452419588359,0.15151185838759273,0.7662401796602566,2.0348065282132115,-154.1605236056495,0.0,0.09556199033084206,10.46441159856479,4.221571327837474,9.352880091916004
 0.4011083084964885,0.16088787514491418,0.7903535504553231,2.0326422951883716,-154.10915793189113,0.0,0.09501451976419979,10.524707197191841,4.329881620013004,9.130041699737731
 0.41261761982045825,0.17025330018630022,0.8137259283169469,2.0307364362407645,-154.0581443723647,0.0,0.09446094136108957,10.586386135803648,4.432372892737817,8.905074321115965
 0.42380207667505065,0.1796082001940855,0.8364196964955068,2.0290451716698024,-154.00748517491346,0.0,0.09390126071837725,10.649484281144394,4.5294284836400145,8.677720533415629
 0.43468683172127603,0.18895264167188092,0.8584889083963255,2.0275340884654858,-153.95718258033804,0.0,0.09333548457935645,10.71403876571479,4.621380486908635,8.447778831780617
 0.44529393769213554,0.19828669094536744,0.8799807694134096,2.026175761430862,-153.90723882224543,0.0,0.09276362013963899,10.780088126085198,4.708518820291012,8.215090300951953
 0.45564285812806227,0.2076104141631094,0.9009367958201961,2.0249480645378974,-153.85765612693686,0.0,0.09218567468504354,10.847672411321438,4.791098319437704,7.979527880030171
 0.46575087471456333,0.21692387729738083,0.9213937328426284,2.0238329495572667,-153.8084367132384,0.0,0.09160165652325704,10.916833144235845,4.869344374069023,7.740989932269667
 0.4756334157153113,0.2262271461450141,0.9413842904298739,2.02281554771516,-153.75958279241414,0.0,0.09101157464243281,10.987613431904789,4.943457438786361,7.499393598440757
 0.4853043234180582,0.23552028632825917,0.9609377391333696,2.021883498892434,-153.71109656799283,0.0,0.09041543720014306,11.060058226411117,5.013616706067415,7.254672408994947
 0.49477607389167905,0.24480336329566418,0.9800803973097361,2.021026443810934,-153.66298023565537,0.0,0.08981325475846434,11.13421401650914,5.079983100424701,7.006771825558428
 0.5040599590554425,0.2540764423229743,0.9988360329471191,2.0202356348169093,-153.61523598310356,0.0,0.08920503667968488,11.210129351672977,5.1427017578969,6.755647701998676
 0.513166238673245,0.2633395885140457,1.0172261977286858,2.019503634131188,-153.56786598992696,0.0,0.08859079361884879,11.287854630836467,5.2019040886921895,6.501264323088817
 0.5221042681321167,0.27259286680177314,1.0352705068053596,2.0188240774663346,-153.52087242747754,0.0,0.08797053658013992,11.367442315064363,5.257709505842092,6.243592886630106
 0.5308826065610397,0.2818363419490436,1.0529868746931639,2.0181914870623165,-153.4742574587301,0.0,0.08734427752650706,11.448946952437979,5.310226886886877,5.982610658043258
 0.5395091088662862,0.2910700785496942,1.0703917154273215,2.0176011224818424,-153.42802323814806,0.0,0.08671202778784041,11.53242549518868,5.359555813707264,5.718299847944815
